ScientificName,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,CommonName
Menziesia ferruginea,,FACU,,,,,,,FACU,FACU,Fool's-Huckleberry
Menziesia pilosa,FACU,,,FAC,,,,,,,Minniebush
Merremia dissecta,FACU,FAC,FACU,FACU,FAC,,,,,,Noyau-Vine
Merrilliodendron megacarpum,,,,,,FAC,,,,,_?_
Mertensia bella,,FACW,,,,,,,FACW,,Oregon Bluebells
Mertensia ciliata,,FACW,,,FACW,,,,FACW,,Tall Fringe Bluebells
Mertensia eastwoodiae,,,,,,,,,,FACU,Eastwood's Bluebells
Mertensia franciscana,,OBL,,,FACW,,,,FACW,,Franciscan Bluebells
Mertensia maritima,,,,,,,,FACW,,FAC,Oysterleaf
Mertensia oblongifolia,,FAC,,,FAC,,,,FAC,,Languid-Lady
Mertensia paniculata,,FACW,,,FAC,,FAC,FAC,FAC,FACU,Tall Bluebells
Mertensia virginica,FAC,,,FACW,,,FACW,FAC,,,Virginia Bluebells
Mertensia viridis,,FACU,,,UPL,,,,FACU,,Green Bluebells
Mesembryanthemum cordifolium,FAC,FAC,,,,,,,FAC,,Heart-Leaf Iceplant
Mesembryanthemum crystallinum,FAC,FACU,,FAC,,,,,FACU,,Crystalline Iceplant
Mesembryanthemum nodiflorum,FAC,FACU,,,,,,,FACU,,Slender-Leaf Iceplant
Mesosphaerum pectinatum,UPL,,FAC,,,UPL,,,,,_?_
Mesosphaerum suaveolens,,,FACU,,,UPL,,,,,Pignut
Metopium toxiferum,FAC,,FACU,,,,,,,,Florida Poisontree
Metrosideros macropus,,,,,,FAC,,,,,Ohi'a Lehua
Metrosideros polymorpha,,,,,,FAC,,,,,Ohi'a
Metrosideros rugosa,,,,,,FACW,,,,,Lehua Papa
Metrosideros tremuloides,,,,,,FAC,,,,,Lehua 'Ahihi
Metrosideros waialealae,,,,,,FACW,,,,,Kauai Bottlebrush
Miconia affinis,,,FACW,,,,,,,,Saquiyac
Miconia calvescens,,,UPL,,,FAC,,,,,Devil's-Scourge
Miconia foveolata,,,OBL,,,,,,,,Puerto Rico Johnny-Berry
Miconia impetiolaris,,,FACU,,,,,,,,Camasey-de-Costilla
Miconia laevigata,,,FACU,,,,,,,,Smooth Johnny-Berry
Miconia mirabilis,,,FACU,,,,,,,,Camasey-Cuatrocanales
Miconia pachyphylla,,,OBL,,,,,,,,Camasey-Racimoso
Miconia prasina,,,FAC,,,,,,,,Granadillo-Bobo
Miconia pycnoneura,,,OBL,,,,,,,,Ridge Johnny-Berry
Miconia racemosa,,,FACW,,,,,,,,Camasey-Felpa
Miconia rubiginosa,,,FAC,,,,,,,,Peralejo
Miconia serrulata,,,FACU,,,,,,,,Jau-Jau
Miconia sintenisii,,,FACW,,,,,,,,Mountain Johnny-Berry
Miconia subcorymbosa,,,FACW,,,,,,,,Forest Johnny-Berry
Miconia tetrandra,,,FAC,,,,,,,,Rajador
Miconia tetrastoma,,,FACW,,,,,,,,Graceful Johnny-Berry
Miconia thomasiana,,,FACW,,,,,,,,Camasey-Tomaso
Micranthemum glomeratum,OBL,,,,,,,,,,Manatee Mudflower
Micranthemum micranthemoides,OBL,,,OBL,,,,OBL,,,Nuttall's Mudflower
Micranthemum umbrosum,OBL,,OBL,OBL,OBL,,,,,,Shade Mudflower
Micranthes aprica,,FACW,,,,,,,FAC,,Sierran Pseudosaxifrage
Micranthes californica,,FACW,,,,,,,FACW,,California Pseudosaxifrage
Micranthes careyana,,,,FAC,,,,,,,Golden-Eye Pseudosaxifrage
Micranthes caroliniana,,,,FACW,,,,,,,Carolina Pseudosaxifrage
Micranthes ferruginea,,FAC,,,OBL,,,,FAC,FAC,Russet-Hair Pseudosaxifrage
Micranthes foliolosa,,,,,,,,OBL,OBL,FACW,Leafy-Stem Pseudosaxifrage
Micranthes fragosa,,FACW,,,,,,,FACW,,Cliff Pseudosaxifrage
Micranthes hieraciifolia,,,,,,,,,,FAC,Stiff-Stem Pseudosaxifrage
Micranthes howellii,,FAC,,,,,,,FAC,,Howell's Pseudosaxifrage
Micranthes integrifolia,,FACW,,,,,,,FACW,,Columbian Pseudosaxifrage
Micranthes lyallii,,FACW,,,OBL,,,,FACW,FACW,Red-Stem Pseudosaxifrage
Micranthes marshallii,,OBL,,,,,,,FACW,,Hupa Valley Pseudosaxifrage
Micranthes micranthidifolia,,,,OBL,,,,OBL,,,Lettuce-Leaf Pseudosaxifrage
Micranthes nelsoniana,,FAC,,,,,,,FAC,FAC,Heart-Leaf Pseudosaxifrage
Micranthes nidifica,,FACW,,,FAC,,,,FACW,,Peak Pseudosaxifrage
Micranthes nudicaulis,,,,,,,,,,FACW,Naked-Stem Pseudosaxifrage
Micranthes occidentalis,,FAC,,,FAC,,,,FAC,UPL,Mountain Pseudosaxifrage
Micranthes odontoloma,,FACW,,,FACW,,,,FACW,,Streambank Pseudosaxifrage
Micranthes oregana,,OBL,,,OBL,,,,FACW,,Bog Pseudosaxifrage
Micranthes palmeri,FAC,,,FAC,FAC,,FACU,,,,Palmer's Pseudosaxifrage
Micranthes pensylvanica,OBL,,,OBL,FACW,,OBL,OBL,,,Eastern Swamp Pseudosaxifrage
Micranthes petiolaris,FACW,,,FACU,,,,,,,Michaux's Pseudosaxifrage
Micranthes porsildiana,,,,,,,,,FAC,FAC,Porsild's Pseudosaxifrage
Micranthes rhomboidea,,FACW,,,FAC,,,,FAC,,Diamond-Leaf Pseudosaxifrage
Micranthes texana,FAC,,,FAC,FACW,,FAC,,,,Texas Pseudosaxifrage
Micranthes tolmiei,,FAC,,,,,,,FAC,FACU,Tolmie's Alpine Pseudosaxifrage
Micranthes virginiensis,FAC,,,FAC,,,FACU,FACU,,,Early Pseudosaxifrage
Microchilus hirtellus,,,FAC,,,,,,,,Cuban False Helmet Orchid
Microchilus plantagineus,,,FAC,,,,,,,,Caribbean False Helmet Orchid
Microlaena stipoides,,,,,,FAC,,,,,Weeping Grass
Microlepia X adulteriana,,,,,,FACU,,,,,_?_
Microlepia speluncae,,,,,,FACU,,,,,Limp-Leaf Fern
Microlepia strigosa,,,,,,FACU,,,,,Palapalai
Micropholis garciniifolia,,,OBL,,,,,,,,Caimitillo-Verde
Micropholis guyanensis,,,FACW,,,,,,,,Wild Balata
Micropolypodium nimbatum,,,,OBL,,,,,,,West Indian Dwarf-Polypody
Micropus californicus,,FACU,,,,,,,FACU,,Slender Cottonseed
Microseris borealis,,OBL,,,,,,,OBL,OBL,Northern Silverpuffs
Microseris douglasii,,FACU,,,,,,UPL,UPL,,Douglas' Silverpuffs
Microseris laciniata,,FACU,,,,,,,FACU,,Cut-Leaf Silverpuffs
Microsorum spectrum,,,,,,FACU,,,,,Triploid Fern
Microstachys corniculata,UPL,,FAC,,,,,,,,Hato-Tejas
Microstegium vimineum,FAC,,FAC,FAC,FAC,,FAC,FAC,,,Japanese Stilt Grass
Microsteris gracilis,,FACU,,,UPL,,UPL,,FACU,UPL,Annual-Phlox
Microtea debilis,,,FAC,,,,,,,,Weak Jumby-Pepper
Mikania batatifolia,OBL,,,,,,,,,,_?_
Mikania congesta,,,FACW,,,,,,,,Guaco
Mikania cordifolia,FACW,,FAC,,,,,,,,Florida Keys Hempvine
Mikania odoratissima,,,FAC,,,,,,,,Fragrant Hempvine
Mikania porosa,,,FAC,,,,,,,,Puerto Rico Hempvine
Mikania scandens,FACW,,,FACW,FACW,FAC,OBL,OBL,,,Climbing Hempvine
Mikania stevensiana,,,FAC,,,,,,,,Maricao River Hempvine
Milium effusum,,,,FACU,FACU,,FACU,FACU,,,American Millet Grass
Mimetanthe pilosa,,FACW,,,,,,,FACW,,False Monkey-Flower
Mimosa casta,,,FACW,,,,,,,,Graceful Mimosa
Mimosa diplotricha,,,FAC,,,FAC,,,,,Giant False Sensitive-Plant
Mimosa malacophylla,FACW,,,,FACW,,,,,,Soft-Leaf Mimosa
Mimosa pellita,FAC,,FAC,,,,,,,,Lollipop Mimosa
Mimosa pudica,FACU,,FACU,FACU,,FACU,FACU,FACU,,,Shameplant
Mimosa strigillosa,FAC,,,FAC,FAC,,FAC,,,,Powderpuff
Mimulus alatus,OBL,,,OBL,OBL,,OBL,OBL,,,Sharp-Wing Monkey-Flower
Mimulus alsinoides,,OBL,,,,,,,OBL,,Wing-Stem Monkey-Flower
Mimulus angustatus,,OBL,,,,,,,OBL,,Purple-Lip Pansy Monkey-Flower
Mimulus bicolor,,FACU,,,,,,,FACU,,Yellow-and-White Monkey-Flower
Mimulus breviflorus,,FACW,,,FACW,,,,FACW,,Short-Flower Monkey-Flower
Mimulus breweri,,FACU,,,,,,,FACU,,Brewer's Monkey-Flower
Mimulus cardinalis,,FACW,,,,,,,FACW,,Scarlet Monkey-Flower
Mimulus congdonii,,FAC,,,,,,,FAC,,Congdon's Monkey-Flower
Mimulus dentatus,,OBL,,,,,,,OBL,,Coastal Monkey-Flower
Mimulus dentilobus,,OBL,,,,,,,OBL,,Tooth-Petal Monkey-Flower
Mimulus douglasii,,FACW,,,,,,,FACW,,Brownies
Mimulus eastwoodiae,,OBL,,,,,,,OBL,,Eastwood's Monkey-Flower
Mimulus exiguus,,FACU,,,,,,,,,San Bernardino Mountain Monkey-Flower
Mimulus filicaulis,,FACW,,,,,,,FACW,,Slender-Stem Monkey-Flower
Mimulus floribundus,,OBL,,OBL,OBL,,,,OBL,,Purple-Stem Monkey-Flower
Mimulus glabratus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Round-Leaf Monkey-Flower
Mimulus glaucescens,,OBL,,,,,,,OBL,,Shield-Bract Monkey-Flower
Mimulus guttatus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Seep Monkey-Flower
Mimulus inconspicuus,,FACU,,,,,,,FACU,,Small-Flower Monkey-Flower
Mimulus laciniatus,,FAC,,,,,,,FAC,,Cut-Leaf Monkey-Flower
Mimulus latidens,,OBL,,,,,,,OBL,,Broad-Tooth Monkey-Flower
Mimulus lewisii,,FACW,,,,,,,FACW,FACW,Great Purple Monkey-Flower
Mimulus michiganensis,,,,,,,,OBL,,,Michigan Monkey-Flower
Mimulus moschatus,OBL,FACW,,OBL,OBL,,,OBL,OBL,,Muskflower
Mimulus nanus,,FACU,,,,,,,FACU,,Dwarf Purple Monkey-Flower
Mimulus nudatus,,OBL,,,,,,,OBL,,Bare Monkey-Flower
Mimulus parishii,,FACU,,,,,,,FACU,,Parish's Monkey-Flower
Mimulus primuloides,,FACW,,,,,,,OBL,,Yellow Creeping Monkey-Flower
Mimulus pulchellus,,FACW,,,,,,,FACW,,Yellow-Lip Pansy Monkey-Flower
Mimulus purpureus,,FACU,,,,,,,,,Little Purple Monkey-Flower
Mimulus pygmaeus,,OBL,,,,,,,OBL,,Egg Lake Monkey-Flower
Mimulus ringens,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Allegheny Monkey-Flower
Mimulus rubellus,,FAC,,,FACW,,,,FAC,,Little Red-Stem Monkey-Flower
Mimulus suksdorfii,,FACU,,,FACW,,,,FACU,,Miniature Monkey-Flower
Mimulus tilingii,,OBL,,,OBL,,,,OBL,OBL,Subalpine Monkey-Flower
Mimulus tricolor,,OBL,,,,,,,OBL,,Tricolor Monkey-Flower
Mimulus washingtonensis,,OBL,,,OBL,,,,OBL,,Washington Monkey-Flower
Minuartia californica,,FACU,,,,,,,FACU,,California Stitchwort
Minuartia godfreyi,FACW,,,FACW,,,,,,,Godfrey's Stitchwort
Minuartia muscorum,FACU,,,FACU,FACU,,FACU,,,,Dixie Stitchwort
Minuartia obtusiloba,,FACU,,,FACU,,,,FACU,FACU,Alpine Stitchwort
Minuartia patula,FAC,,,UPL,FAC,,FACU,UPL,,,Pitcher's Stitchwort
Minuartia rubella,,FACU,,,FAC,,,UPL,FACU,FAC,Boreal Stitchwort
Minuartia stricta,,FAC,,,FAC,,,,FAC,FAC,Bog Stitchwort
Minuartia uniflora,FACW,,,FACW,,,,,,,One-Flower Stitchwort
Mirabilis jalapa,FACU,UPL,FACU,UPL,UPL,FACU,UPL,UPL,UPL,,Marvel-of-Peru
Mirabilis nyctaginea,FACU,FACU,,FACU,UPL,,UPL,UPL,FACU,,Heart-Leaf Four-O'clock
Miscanthus floridulus,,,,,,FACU,,,,,Pacific Island Silvergrass
Miscanthus sinensis,UPL,FACU,,FACU,FACU,,UPL,UPL,FAC,,Chinese Silver Grass
Mitchella repens,FACU,,,FACU,FAC,,FACU,FACU,,,Partridge-Berry
Mitella diphylla,FACU,,,FACU,FACU,,FACU,FACU,,,Two-Leaf Bishop's-Cap
Mitella nuda,,FACW,,FACW,OBL,,FACW,FACW,FACW,FAC,Bare-Stem Bishop's-Cap
Mitella stauropetala,,FAC,,,FAC,,,,FAC,,Side-Flower Bishop's-Cap
Mitellastra caulescens,,FAC,,,,,,,FAC,,Mock Millerwort
Mitracarpus hirtus,FACU,FACU,FACU,,FACU,FAC,,,,,Tropical Girdlepod
Mitreola angustifolia,FAC,,,,,,,,,,Narrow-Leaf Hornpod
Mitreola petiolata,FACW,,OBL,FACW,FACW,,,,,,Lax Hornpod
Mitreola sessilifolia,FACW,,,FACW,FACW,,,,,,Swamp Hornpod
Modiola caroliniana,FACU,FAC,,FACU,FAC,FACU,,FACU,FACU,,Carolina Bristle-Mallow
Moehringia lateriflora,FAC,FACU,,FAC,FACU,,FACU,FACU,FAC,FACU,Blunt-Leaf Grove-Sandwort
Moehringia macrophylla,,FAC,,,UPL,,,FACU,FACU,,Large-Leaf Grove-Sandwort
Molinia caerulea,FACU,,,FACU,,,,FACU,FACU,,Purple Moor Grass
Mollugo cerviana,FAC,FAC,,FAC,FAC,FACU,,,FAC,,Thread-Stem Carpetweed
Mollugo verticillata,FAC,FACU,FAC,FAC,FAC,,FAC,FAC,FAC,,Green Carpetweed
Momordica charantia,UPL,FACU,FAC,UPL,FACU,FAC,FACU,FACU,,,Balsam-Pear
Monarda clinopodia,FACU,,,FACU,,,FACU,FACU,,,White Bergamot
Monarda didyma,FAC,,,FAC,,,UPL,FACU,FAC,,Scarlet Beebalm
Monarda fistulosa,FACU,FACU,,UPL,UPL,,FACU,FACU,FACU,,Oswego-Tea
Monarda punctata,FACU,UPL,,UPL,UPL,,UPL,UPL,UPL,,Spotted Beebalm
Monardella australis,,FACU,,,,,,,,,Southern Mountainbalm
Monardella linoides,,FACU,,,,,,,FACU,,Flax-Leaf Mountainbalm
Monardella odoratissima,,FACU,,,UPL,,,,UPL,,Alpine Mountainbalm
Monardella viminea,,FACU,,,,,,,,,Willowy Mountainbalm
Moneses uniflora,,FACU,,,FAC,,FAC,FAC,FACU,FACU,Single-Delight
Monochoria vaginalis,,OBL,,,,OBL,,,OBL,,Heart-Shape False Pickerelweed
Monolepis nuttalliana,FACU,FAC,,UPL,FAC,,UPL,UPL,FAC,FAC,Nuttall's Poverty-Weed
Monolopia congdonii,,FACU,,,,,,,FACU,,San Joaquin Woollythread
Monotropa uniflora,FACU,FACU,,FACU,UPL,,FACU,FACU,FACU,UPL,One-Flower Indian-Pipe
Monstera deliciosa,,,,,,FAC,,,,,Taro Vine
Montia bostockii,,,,,,,,,,FACW,Bostock's Candy-Flower
Montia chamissoi,,OBL,,,OBL,,OBL,OBL,OBL,OBL,Chamisso's Candy-Flower
Montia dichotoma,,FAC,,,,,,,FAC,,Dwarf Candy-Flower
Montia fontana,OBL,OBL,,,,,,OBL,FACW,OBL,Fountain Candy-Flower
Montia howellii,,FACW,,,,,,,FAC,,Howell's Candy-Flower
Montia linearis,FAC,FAC,,FAC,FAC,,,FAC,FAC,,Linear-Leaf Candy-Flower
Montia parvifolia,,FACW,,,FACW,,,,FAC,FACW,Little-Leaf Candy-Flower
Morella californica,,FACW,,,,,,,FACW,,Pacific Bayberry
Morella caroliniensis,FACW,,,FAC,FAC,,,,,,Evergreen Bayberry
Morella cerifera,FAC,,FAC,FAC,FAC,FAC,,FAC,,,Southern Bayberry
Morella holdridgeana,,,FAC,,,,,,,,Palo-de-Cera
Morella inodora,OBL,,,,,,,,,,Odorless Bayberry
Morella pensylvanica,FAC,,,FAC,,,FAC,FAC,,,Northern Bayberry
Morinda citrifolia,UPL,,FACU,,,FACU,,,,,Painkiller
Morinda umbellata,FACU,,,,,,,,,,Cheeseshrub
Moringa oleifera,FACU,,UPL,,,,,,,,Horseradish-Tree
Morus alba,FACU,FACU,,UPL,FACU,UPL,FAC,FACU,FACU,,White Mulberry
Morus microphylla,,FACU,,,UPL,,,,FACU,,Texas Mulberry
Morus rubra,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,,Red Mulberry
Mosla dianthera,FACU,,,FACU,,,,,,,Miniature-Beefsteakplant
Mucuna gigantea,,,,,,FACU,,,,,Sea-Bean
Mucuna urens,,,FAC,,,,,,,,Oxeye-Bean
Muhlenbergia andina,,FAC,,,FAC,,,,FAC,,Fox-Tail Muhly
Muhlenbergia asperifolia,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,,Alkali Muhly
Muhlenbergia californica,,FACW,,,,,,,,,California Muhly
Muhlenbergia capillaris,FAC,,FAC,FACU,FACU,,FACU,FACU,,,Hair-Awn Muhly
Muhlenbergia eludens,,UPL,,,FAC,,,,UPL,,Gravel-Bar Muhly
Muhlenbergia expansa,FACW,,,FACW,FACW,,,FACW,,,Spreading Muhly
Muhlenbergia filiformis,FACW,FACW,,,FACW,,FACW,,FACW,,Pullup Muhly
Muhlenbergia frondosa,FAC,FACW,,FAC,FACW,,FACW,FACW,FACW,,Wire-Stem Muhly
Muhlenbergia glabrifloris,FAC,,,FAC,FAC,,FACU,FAC,,,Smooth Muhly
Muhlenbergia glomerata,FACW,FACW,,FACW,FACW,,FACW,OBL,FACW,,Spiked Muhly
Muhlenbergia lindheimeri,,,,,FACW,,,,,,Lindheimer's Muhly
Muhlenbergia mexicana,FAC,FAC,,FACW,FACW,FAC,FACW,FACW,FAC,,Mexican Muhly
Muhlenbergia minutissima,,FAC,,,FAC,,,,FAC,,Least Muhly
Muhlenbergia montana,,UPL,,,FACU,,,,UPL,,Mountain Muhly
Muhlenbergia pectinata,,OBL,,,,,,,,,Comb-Top Muhly
Muhlenbergia racemosa,FACW,FACW,,FAC,FACW,,FACW,FACU,FACW,,Green Muhly
Muhlenbergia ramulosa,,FACU,,,FACU,,,,FACU,,Ponderosa Muhly
Muhlenbergia reverchonii,FAC,,,FAC,FAC,,,,,,Seep Muhly
Muhlenbergia richardsonis,,FAC,,,FAC,,FAC,FACW,FAC,,Matted Muhly
Muhlenbergia rigens,,FAC,,,FACU,,,,UPL,,Deer Grass
Muhlenbergia schreberi,FAC,FACU,,FAC,FACU,,FAC,FAC,FACU,,Nimblewill
Muhlenbergia sericea,FACW,,,FAC,FACU,,,,,,Slender Muhly
Muhlenbergia sylvatica,FACW,FACW,,FAC,FACW,,FACW,FACW,FACW,,Woodland Muhly
Muhlenbergia tenuiflora,FACU,,,FACU,FACU,,FACU,FACU,,,Slim-Flower Muhly
Muhlenbergia torreyana,FACW,,,FACW,,,,,,,New Jersey Muhly
Muhlenbergia uniflora,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Bog Muhly
Muhlenbergia utilis,FACW,FACW,,,FACW,,,,FACW,,Aparejo Grass
Muhlenbergia wrightii,,FACU,,,FACU,,FACU,,FACU,,Wright's Muhly
Muntingia calabura,UPL,UPL,FACU,,,FACU,,,,,Strawberry-Tree
Murdannia keisak,OBL,,,OBL,,,,,OBL,,Wart-Removing-Herb
Murdannia nudiflora,FAC,,FACW,FAC,FACW,FACU,FACW,,,,Naked-Stem Dewflower
Murdannia spirata,FAC,,,,,,,,,,Asiatic Dewflower
Musa X paradisiaca,UPL,,FAC,,,FACU,,,,,_?_
Musa acuminata,FACW,,,,,,,,,,Edible Banana
Musa troglodytarum,,,,,,FACU,,,,,Fe'i Banana
Myoporum laetum,,FACU,,,,,,,UPL,,Ngaio-Tree
Myosotis arvensis,FAC,FAC,,UPL,FAC,,FAC,FACU,FACU,,Rough Forget-Me-Not
Myosotis asiatica,,FAC,,,FAC,,,,FAC,FAC,Asian Forget-Me-Not
Myosotis discolor,FAC,FAC,,UPL,FACU,UPL,UPL,UPL,FAC,,Yellow Scorpion-Grass
Myosotis laxa,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Bay Forget-Me-Not
Myosotis macrosperma,FAC,,,FAC,FAC,,FAC,FAC,,,Large-Seed Forget-Me-Not
Myosotis scorpioides,OBL,FACW,,OBL,OBL,,OBL,OBL,FACW,FAC,True Forget-Me-Not
Myosotis sylvatica,UPL,FACU,,UPL,FACU,,UPL,UPL,FAC,UPL,Woodland Forget-Me-Not
Myosotis verna,FACU,FAC,,FAC,FAC,,FACU,FACU,FAC,,Spring Forget-Me-Not
Myosoton aquaticum,FACW,,,FACW,FAC,,FACW,FAC,FAC,,Giant-Chickweed
Myosurus apetalus,,OBL,,,FACW,,,,OBL,,Bristly Mousetail
Myosurus cupulatus,,FAC,,,,,,,FAC,,Arizona Mousetail
Myosurus minimus,FACW,OBL,,FACW,FACW,,FACW,FAC,OBL,,Tiny Mousetail
Myosurus sessilis,,FACW,,,,,,,FACW,,Vernal-Pool Mousetail
Myrcia citrifolia,,,FACU,,,,,,,,Red Rodwood
Myrcia deflexa,,,FACU,,,,,,,,Cieneguillo
Myrcia fallax,,,FACW,,,,,,,,Curame
Myrcia leptoclada,,,FAC,,,,,,,,Guayabacon
Myrcia margarettae,,,OBL,,,,,,,,Margarett's Rodwood
Myrcia splendens,,,FAC,,,,,,,,Punchberry
Myrica gale,OBL,,,OBL,OBL,,OBL,OBL,OBL,OBL,Sweetgale
Myrica hartwegii,,FAC,,,,,,,FAC,,Sierran-Bayberry
Myriophyllum alterniflorum,,,,,,,,OBL,,,Alternate-Flower Water-Milfoil
Myriophyllum aquaticum,OBL,OBL,,OBL,OBL,OBL,OBL,OBL,OBL,,Parrot's-Feather
Myriophyllum farwellii,,,,OBL,,,OBL,OBL,,OBL,Farwell's Water-Milfoil
Myriophyllum heterophyllum,OBL,,,OBL,OBL,,OBL,OBL,OBL,,Two-Leaf Water-Milfoil
Myriophyllum hippuroides,,OBL,,,,,OBL,OBL,OBL,,Western Water-Milfoil
Myriophyllum humile,OBL,,,OBL,OBL,,OBL,OBL,,,Low Water-Milfoil
Myriophyllum laxum,OBL,,,OBL,,,,,,,Loose Water-Milfoil
Myriophyllum pinnatum,OBL,,,OBL,OBL,,OBL,OBL,OBL,,Cut-Leaf Water-Milfoil
Myriophyllum quitense,,OBL,,,,,,,OBL,,Andean Water-Milfoil
Myriophyllum sibiricum,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Siberian Water-Milfoil
Myriophyllum spicatum,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Eurasian Water-Milfoil
Myriophyllum tenellum,OBL,,,OBL,OBL,,OBL,OBL,,,Slender Water-Milfoil
Myriophyllum verticillatum,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Whorled Water-Milfoil
Myrsine coriacea,,,FACU,,,,,,,,Leathery Colicwood
Myrsine cubana,FAC,,FAC,,,,,,,,Guianese Colicwood
Myrsine degeneri,,,,,,FAC,,,,,Summit Colicwood
Myrsine denticulata,,,,,,FACW,,,,,Bog Colicwood
Myrsine emarginata,,,,,,FAC,,,,,Mountain Colicwood
Myrsine fernseei,,,,,,FACW,,,,,Streambank Colicwood
Myrsine fosbergii,,,,,,FAC,,,,,Koolau Range Colicwood
Myrsine helleri,,,,,,FACW,,,,,Wahiawa Bog Colicwood
Myrsine juddii,,,,,,FACW,,,,,Cloudswept Colicwood
Myrsine kauaiensis,,,,,,FAC,,,,,Kauai Colicwood
Myrsine lessertiana,,,,,,FACU,,,,,Kolea Lau Nui
Myrsine linearifolia,,,,,,FACU,,,,,Narrow-Leaf Colicwood
Myrsine petiolata,,,,,,FAC,,,,,Swamp Colicwood
Myrsine punctata,,,,,,FACW,,,,,Dotted Colicwood
Myrsine sandwicensis,,,,,,FAC,,,,,Kokea Lau Li'i
Myrsine vaccinioides,,,,,,FACW,,,,,Violet Lake Colicwood
Myrsine wawraea,,,,,,FACW,,,,,Mt. Kahili Colicwood
Nabalus albus,FACU,,,FACU,FACU,,FACU,FACU,,,White Rattlesnake-Root
Nabalus altissimus,UPL,,,FACU,UPL,,FACU,FACU,,,Tall Rattlesnake-Root
Nabalus autumnalis,FAC,,,FAC,,,,,,,Slender Rattlesnake-Root
Nabalus crepidineus,UPL,,,FACU,,,FAC,FAC,,,Nodding Rattlesnake-Root
Nabalus racemosus,FACW,FACU,,FACW,FACU,,FACW,FACW,FAC,,Purple Rattlesnake-Root
Najas filifolia,OBL,,,,,,,,,,Needle-Leaf Waternymph
Najas flexilis,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Wavy Waternymph
Najas gracillima,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Slender Waternymph
Najas graminea,,OBL,,,,,,,OBL,,Ricefield Waternymph
Najas guadalupensis,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,,Guadalupe Waternymph
Najas marina,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,,Holly-Leaf Waternymph
Najas minor,OBL,,,OBL,OBL,,OBL,OBL,,,Brittle Waternymph
Najas wrightiana,OBL,,,,,,,,,,Wright's Waternymph
Nama jamaicense,FACU,,FACU,FACW,FACW,,,,,,Jamaican-Weed
Nama stenocarpum,FACW,FACW,,,FACW,,,,,,Mud Fiddleleaf
Nama torynophyllum,,FACW,,,FACW,,,,,,Matted Fiddleleaf
Nanozostera japonica,,,,,,,,,OBL,,Dwarf-Eel-Grass
Napaea dioica,FACW,,,FACW,,,FACW,FACW,,,Glade-Mallow
Narthecium americanum,FACW,,,FACW,,,,,,,Yellow Asphodel
Narthecium californicum,,OBL,,,,,,,OBL,,California Bog Asphodel
Narthecium montanum,,,,FACW,,,,,,,Mountain Asphodel
Nasturtium gambelii,,OBL,,,,,,,,,Gambel's Watercress
Nasturtium microphyllum,OBL,OBL,,OBL,OBL,OBL,OBL,OBL,OBL,OBL,One-Row Watercress
Nasturtium officinale,OBL,OBL,OBL,OBL,OBL,,OBL,OBL,OBL,OBL,Watercress
Navarretia breweri,,FAC,,,FAC,,,,FAC,,Yellow Pincushion-Plant
Navarretia capillaris,,FAC,,,,,,,FAC,,Miniature Pincushion-Plant
Navarretia cotulifolia,,OBL,,,,,,,OBL,,Cotula-Leaf Pincushion-Plant
Navarretia eriocephala,,FAC,,,,,,,FAC,,Hoary Pincushion-Plant
Navarretia fossalis,,OBL,,,,,,,OBL,,Vernal-Pool Pincushion-Plant
Navarretia heterandra,,OBL,,,,,,,OBL,,Tehama Pincushion-Plant
Navarretia intertexta,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,,Needle-Leaf Pincushion-Plant
Navarretia jepsonii,,FACW,,,,,,,FACW,,Jepson's Pincushion-Plant
Navarretia leucocephala,,OBL,,,OBL,,,OBL,OBL,,White-Flower Pincushion-Plant
Navarretia mellita,,FAC,,,,,,,FAC,,Honey-Scented Pincushion-Plant
Navarretia myersii,,OBL,,,,,,,OBL,,Myers' Pincushion-Plant
Navarretia nigelliformis,,FACW,,,,,,,FACW,,Adobe Pincushion-Plant
Navarretia peninsularis,,FAC,,,,,,,FAC,,Baja Pincushion-Plant
Navarretia prostrata,,OBL,,,,,,,OBL,,Prostrate Pincushion-Plant
Navarretia saximontana,,FACW,,,FACW,,,,FACW,,Rocky Mountain Pincushion-Plant
Navarretia squarrosa,FACU,FACU,,FACU,,,,,FACU,,Skunkweed
Navarretia subuligera,,FACU,,,,,,,FACU,,Awl-Leaf Pincushion-Plant
